"obec1","stat1","obec2","stat2","rok"
"Litomyšl","Česká republika","Levoča","Slovensko",2003
"Litomyšl","Česká republika","Noordenveld - Roden","Nizozemsko",1991
"Moravská Třebová","Česká republika","Banská Štiavnica","Slovensko",1997
"Moravská Třebová","Česká republika","Stauffenberg","Německo",2005
"Moravská Třebová","Česká republika","Vlaardingen","Nizozemsko",1995
"Opatov","Česká republika","Drezzo","Itálie",2004
"Polička","Česká republika","Ebes","Maďarsko",2004
"Polička","Česká republika","Hohenems","Rakousko",1996
"Polička","Česká republika","Westerveld","Nizozemsko",1991
"Česká Třebová","Česká republika","Agrate Brianza","Itálie",2005
"Česká Třebová","Česká republika","Olawa","Polsko",2000
"Česká Třebová","Česká republika","Svit","Slovensko",2005
"Dolní Dobrouč","Česká republika","Rovereto, Marco","Itálie",1999
"Libchavy","Česká republika","Strzelin","Polsko",2010
"Klášterec nad Orlicí","Česká republika","Trzebieszowice","Polsko",2003
"Kunvald","Česká republika","Lititz v Pensylvanii","Spojené státy americké",2006
"Lanškroun","Česká republika","Castiglione in Teverina","Itálie",1996
"Lanškroun","Česká republika","Dzierzoniów","Polsko",1999
"Lanškroun","Česká republika","Kežmarok","Slovensko",1997
"Lanškroun","Česká republika","Serock","Polsko",1999
"Letohrad","Česká republika","Hausen am Albis","Švýcarsko",1996
"Letohrad","Česká republika","Niemcza","Polsko",2008
"Vysoké Mýto","Česká republika","Korbach","Německo",2000
"Vysoké Mýto","Česká republika","Pyrzyce","Polsko",2003
"Žamberk","Česká republika","Fresagrandinaria","Itálie",2001
"Žamberk","Česká republika","Miharu","Japonsko",1997
"Žamberk","Česká republika","Nowa Sól","Polsko",1996
"Žamberk","Česká republika","Püttlingen","Německo",1996
"Žamberk","Česká republika","Rice Lake","Spojené státy americké",1994
"Žamberk","Česká republika","Saint Michel sur Orge","Francie",1996
"Žamberk","Česká republika","Senftenberg","Německo",1963
"Žamberk","Česká republika","Senftenberg","Rakousko",1996
"Žamberk","Česká republika","Vezsprém","Maďarsko",1996
"Přibyslav","Česká republika","Mook en Middelaar","Nizozemsko",1993
"Přibyslav","Česká republika","Sliač","Slovensko",2004
"Světlá nad Sázavou","Česká republika","Spilimbergo","Itálie",2007
"Světlá nad Sázavou","Česká republika","Wawolnica","Polsko",1996
"Ždírec nad Doubravou","Česká republika","Marktgemeinde Michelhausen","Rakousko",2006
"Jihlava","Česká republika","Heidenheim","Německo",2002
"Jihlava","Česká republika","Purmerend","Nizozemsko",1991
"Jihlava","Česká republika","Užhorod","Ukrajina",2010
"Radkov","Česká republika","Vrícko","Slovensko",2011
"Telč","Česká republika","Šala","Slovensko",1980
"Telč","Česká republika","Waidhofen an der Thaya","Rakousko",1991
"Pelhřimov","Česká republika","Dolný Kubín","Slovensko",0
"Pelhřimov","Česká republika","Sankt Valentin","Rakousko",0
"Červená Řečice","Česká republika","Kirchdorf","Švýcarsko",1992
"Kamenice nad Lipou","Česká republika","Śmigiel","Polsko",2006
"Kamenice nad Lipou","Česká republika","St. Georgen am Walde","Rakousko",2007
"Pacov","Česká republika","Arni","Švýcarsko",1994
"Počátky","Česká republika","Konolfingen","Švýcarsko",1992
"Počátky","Česká republika","Lokca","Slovensko",1998
"Želiv","Česká republika","Kiesn","Švýcarsko",1992
"Třebíč","Česká republika","Humenné","Slovensko",0
"Třebíč","Česká republika","Lilienfeld","Rakousko",0
"Třebíč","Česká republika","Oschatz","Německo",0
"Jemnice","Česká republika","Raabs an der Thaya","Rakousko",1999
"Jemnice","Česká republika","Reszel","Polsko",2004
"Náměšť nad Oslavou","Česká republika","Medzilaborce","Slovensko",2001
"Žďár nad Sázavou","Česká republika","Cairanne","Francie",2003
"Žďár nad Sázavou","Česká republika","Flobecq","Belgie",1999
"Žďár nad Sázavou","Česká republika","Schmölln","Německo",2001
"Bohdalov","Česká republika","Stare Oborzyska, Gmina Koscian","Polsko",2003
"Bystřice nad Pernštejnem","Česká republika","Crimmitchau","Německo",1970
"Bystřice nad Pernštejnem","Česká republika","Vranov nad Toplou","Slovensko",2006
"Jimramov","Česká republika","Meyrargues","Francie",1993
"Nové Město na Moravě","Česká republika","Waalre","Nizozemsko",1998
"Nové Město na Moravě","Česká republika","Ziano di Fiemme","Itálie",1998
"Rozsochy","Česká republika","Pisarowce","Polsko",2008
"Rozsochy","Česká republika","Sačurov","Slovensko",2008
"Škrdlovice","Česká republika","Poronin","Polsko",2008
"Velká Bíteš","Česká republika","Hanušovice nad Ťoplou","Slovensko",0
"Velká Bíteš","Česká republika","Torrevecchia Pia","Itálie",2007
"Velké Meziříčí","Česká republika","Modena","Itálie",2006
"Velké Meziříčí","Česká republika","San Benedetto del Tronto","Itálie",2004
"Velké Meziříčí","Česká republika","Vansbro","Švédsko",1969
"Blansko","Česká republika","BOULOC","Francie",2009
"Blansko","Česká republika","KOMÁRNO","Slovensko",2005
"Blansko","Česká republika","LEGNICA","Polsko",2000
"Blansko","Česká republika","MÜRZZUSCHLAG","Rakousko",1992
"Blansko","Česká republika","SCANDIANO","Itálie",1964
"Boskovice","Česká republika","Frasnes-lez-Anvaing","Belgie",2008
"Boskovice","Česká republika","Levice","Slovensko",2008
"Boskovice","Česká republika","Rawa Mazowiecka","Polsko",2006
"Jedovnice","Česká republika","Aschheim","Německo",2000
"Kotvrdovice","Česká republika","Aschheim","Německo",1997
"Velké Opatovice","Česká republika","Elbingerode","Německo",1968
"Velké Opatovice","Česká republika","Kotrëdež","Slovinsko",0
"Velké Opatovice","Česká republika","Stari Grad","Chorvatsko",2004
"Brno","Česká republika","Bratislava","Slovensko",0
"Brno","Česká republika","Dallas","Spojené státy americké",1991
"Brno","Česká republika","Charkov","Ukrajina",2008
"Brno","Česká republika","Kaunas","Litva",1994
"Brno","Česká republika","Leeds","Velká Británie",2003
"Brno","Česká republika","Lipsko","Německo",1973
"Brno","Česká republika","Moskva","Rusko",2006
"Brno","Česká republika","Poznaň","Polsko",1966
"Brno","Česká republika","Rennes","Francie",1965
"Brno","Česká republika","St. Poelten","Rakousko",1991
"Brno","Česká republika","Stuttgart","Německo",1989
"Brno","Česká republika","Utrecht","Nizozemsko",1993
"Brno","Česká republika","Vídeň","Rakousko",1998
"Brno","Česká republika","Voroněž","Rusko",1967
"Brno-Líšeň","Česká republika","Stuttgart-Feuerbach","Německo",2009
"Dolní Kounice","Česká republika","Azay-Le-Brulé","Francie",2004
"Dolní Kounice","Česká republika","Caprese Michelangelo","Itálie",2004
"Ivančice","Česká republika","Radovljica","Slovinsko",2008
"Ivančice","Česká republika","Sládkovičovo","Slovensko",2011
"Ivančice","Česká republika","Soyaux","Francie",2002
"Ivančice","Česká republika","Stupava","Slovensko",2010
"Kanice","Česká republika","Spillern","Rakousko",1992
"Kuřim","Česká republika","Leopoldov","Slovensko",2004
"Medlov","Česká republika","Borów","Polsko",2009
"Oslavany","Česká republika","Schkeuditz","Německo",2005
"Oslavany","Česká republika","Vir","Chorvatsko",2009
"Pozořice","Česká republika","Ivanka pri Dunaji","Slovensko",2006
"Rosice","Česká republika","Lainate","Itálie",2004
"Rosice","Česká republika","Strenči","Lotyšsko",2004
"Tišnov","Česká republika","Moldava nad Bodvou","Slovensko",2001
"Tišnov","Česká republika","Sereď","Slovensko",2003
"Tišnov","Česká republika","Sulejow","Polsko",2006
"Židlochovice","Česká republika","Gbely","Slovensko",2004
"Židlochovice","Česká republika","Grosskrut","Rakousko",2009
"Židlochovice","Česká republika","Svaljava","Ukrajina",2005
"Pohořelice","Česká republika","Brezová pod Bradlom","Slovensko",2005
"Pohořelice","Česká republika","Poraj","Polsko",1995
"Dolní Loučky","Česká republika","Vinosady","Slovensko",2009
"Rakvice","Česká republika","Blatné","Slovensko",2007
"Rakvice","Česká republika","Pilisszetkereszt (Mlynky)","Maďarsko",0
"Velké Němčice","Česká republika","Horné Orešany","Slovensko",1992
"Břeclav","Česká republika","Andrychóv","Polsko",2005
"Břeclav","Česká republika","Brezová pod Bradlom","Slovensko",2006
"Břeclav","Česká republika","Priverno","Itálie",2008
"Břeclav","Česká republika","Trnava","Slovensko",1993
"Břeclav","Česká republika","Zwentendorf","Rakousko",1989
"Bořetice","Česká republika","Radošovce","Slovensko",2009
"Brumovice","Česká republika","Záhorská Bystrica","Slovensko",2004
"Kostice","Česká republika","Borský Sv.Jur","Slovensko",2010
"Lanžhot","Česká republika","Rabensburg","Rakousko",1990
"Nový Přerov","Česká republika","Wildendurnbach","Rakousko",2001
"Hodonín","Česká republika","Cattolica","Itálie",1997
"Hodonín","Česká republika","Holíč","Slovensko",2003
"Hodonín","Česká republika","Jaslo","Polsko",2009
"Hodonín","Česká republika","Stolberg/Harz","Německo",2002
"Hodonín","Česká republika","Trebišov","Slovensko",2008
"Hodonín","Česká republika","Zistersdorf","Rakousko",1990
"Bzenec","Česká republika","Egeln","Německo",2009
"Bzenec","Česká republika","Murs-Erigné","Francie",1998
"Hýsly","Česká republika","Beňadovo","Slovensko",2012
"Kyjov","Česká republika","Biograd na Moru","Chorvatsko",2011
"Kyjov","Česká republika","Hollabrunn","Rakousko",2005
"Kyjov","Česká republika","Seravezza","Itálie",2010
"Kyjov","Česká republika","Yvetot","Francie",1998
"Louka","Česká republika","Vrbovce","Slovensko",2007
"Starý Poddvorov","Česká republika","Lasse","Rakousko",2002
"Strážnice","Česká republika","Lefkada","Řecko",1987
"Strážnice","Česká republika","Skalica","Slovensko",1995
"Svatobořice-Mistřín","Česká republika","Boleráz","Slovensko",2009
"Svatobořice-Mistřín","Česká republika","Laa an der Thaya","Rakousko",2009
"Velká nad Veličkou","Česká republika","Nowy Dwór Gdański","Polsko",2008
"Veselí nad Moravou","Česká republika","Crespellano","Itálie",2000
"Veselí nad Moravou","Česká republika","Malacky","Slovensko",1998
"Veselí nad Moravou","Česká republika","Žnin","Polsko",1998
"Vlkoš","Česká republika","Prietrž","Slovensko",2004
"Vyškov","Česká republika","Doebeln","Německo",1992
"Vyškov","Česká republika","Jaroslaw","Polsko",2001
"Vyškov","Česká republika","Michalovce","Slovensko",1996
"Vyškov","Česká republika","Virovitica","Chorvatsko",2001
"Drnovice","Česká republika","Mikroregion Michalovce","Slovensko",0
"Rousínov","Česká republika","Dervio","Itálie",2004
"Rousínov","Česká republika","Halásztelek","Maďarsko",2005
"Rousínov","Česká republika","Podbranč","Slovensko",2006
"Slavkov u Brna","Česká republika","Austerlitz","Nizozemsko",1995
"Slavkov u Brna","Česká republika","Darney","Francie",1987
"Slavkov u Brna","Česká republika","Horn","Rakousko",2001
"Slavkov u Brna","Česká republika","Slawków","Polsko",1991
"Znojmo","Česká republika","Bratislava-Ružinov","Slovensko",2004
"Znojmo","Česká republika","Harderwijk","Nizozemsko",1991
"Znojmo","Česká republika","Nové Zámky","Slovensko",1993
"Znojmo","Česká republika","Pontassieve","Itálie",1963
"Znojmo","Česká republika","Retz","Rakousko",1998
"Znojmo","Česká republika","Strzegom","Polsko",1998
"Znojmo","Česká republika","Torgau","Německo",1997
"Znojmo","Česká republika","Trento -  Povo","Itálie",1996
"Znojmo","Česká republika","Trento - Villazzzano","Itálie",1996
"Břežany","Česká republika","Grossrussbach","Rakousko",1991
"Miroslav","Česká republika","Svaty Jur","Slovensko",0
"Vedrovice","Česká republika","Vysoká pri Morave","Slovensko",2008
"Vrbovec","Česká republika","Pernersdorf, Auggenthal, Alberndorf, Untermarkersdor, Hadres, Obritz, Mailberg, Seefeld","Rakousko",2011
"Suchohrdly","Česká republika","Albendorf","Rakousko",2008
"Jeseník","Česká republika","Bojnice","Slovensko",2002
"Jeseník","Česká republika","Glucholazy","Polsko",2002
"Jeseník","Česká republika","Neuburg an der Donau","Německo",2000
"Jeseník","Česká republika","Nysa","Polsko",1999
"Mikulovice","Česká republika","Glucholazy","Polsko",1997
"Mikulovice","Česká republika","Košice - Krásna","Slovensko",2007
"Mikulovice","Česká republika","Kuhegyesz","Maďarsko",2007
"Mikulovice","Česká republika","Pakoslawice","Polsko",1997
"Černá Voda","Česká republika","Gminy Skoroszyce","Polsko",1999
"Javorník","Česká republika","Otmuchów","Polsko",2006
"Javorník","Česká republika","Zloty Stok","Polsko",2007
"Česká Ves","Česká republika","Olzsanka","Polsko",2003
"Velké Kunětice","Česká republika","Slawniowice","Polsko",2003
"Zlaté Hory","Česká republika","Glucholazy","Polsko",1997
"Zlaté Hory","Česká republika","Ketrzyn","Polsko",1999
"Olomouc","Česká republika","Antony","Francie",1990
"Olomouc","Česká republika","Luzern","Švýcarsko",1992
"Olomouc","Česká republika","Noerdligen","Německo",1990
"Olomouc","Česká republika","Owensboro","Spojené státy americké",1993
"Olomouc","Česká republika","Pécs","Maďarsko",2002
"Olomouc","Česká republika","Subotica","Srbsko",1996
"Olomouc","Česká republika","Tampere","Finsko",1986
"Olomouc","Česká republika","Veenendaal","Nizozemsko",1993
"Hlubočky","Česká republika","Topolčianky","Slovensko",2004
"Litovel","Česká republika","Littau","Švýcarsko",2001
"Litovel","Česká republika","Mikolow","Polsko",2000
"Litovel","Česká republika","Revúca","Slovensko",1966
"Litovel","Česká republika","Wieliczka","Polsko",2000
"Náklo","Česká republika","Naklo nad Notecia","Polsko",2001
"Náměšť na Hané","Česká republika","Szczytna","Polsko",2008
"Uničov","Česká republika","Jelšava","Slovensko",1970
"Uničov","Česká republika","Ledziny","Polsko",2006
"Uničov","Česká republika","Roccagorga","Itálie",2005
"Prostějov","Česká republika","Hoyerswerda","Německo",2008
"Prostějov","Česká republika","Šróda","Polsko",2004
"Prostějov","Česká republika","Vysoké Tatry","Slovensko",2008
"Hranice","Česká republika","Hlohovec","Slovensko",2002
"Hranice","Česká republika","Konstancin-Jeziorna","Polsko",2006
"Hranice","Česká republika","Leidschendam-Voorburg","Nizozemsko",1990
"Radslavice","Česká republika","Raslavice","Slovensko",2004
"Rouské","Česká republika","Kuniow","Polsko",2009
"Sušice","Česká republika","Prozskow","Polsko",2008
"Dřevohostice","Česká republika","Gmina Turawa","Polsko",2007
"Přerov","Česká republika","Bardějov","Slovensko",2008
"Přerov","Česká republika","Cuijk","Nizozemsko",1993
"Přerov","Česká republika","Ivano-Frankivsk","Ukrajina",2010
"Přerov","Česká republika","Kedzierzyn-Kozle","Polsko",2007
"Přerov","Česká republika","Ozimek","Polsko",2010
"Šumperk","Česká republika","Bad Hersfeld","Německo",1994
"Šumperk","Česká republika","Ebreichsdorf","Rakousko",2002
"Šumperk","Česká republika","Maarsen","Nizozemsko",1994
"Šumperk","Česká republika","Nysa","Polsko",1996
"Šumperk","Česká republika","Polotsk","Bělorusko",2000
"Šumperk","Česká republika","Prievidza","Slovensko",2001
"Bludov","Česká republika","Lehota pod Vtáčnikom","Slovensko",2003
"Postřelmov","Česká republika","Kamenec pod Vtáčníkom","Slovensko",0
"Postřelmov","Česká republika","Moyenneville","Francie",2009
"Ruda nad Moravou","Česká republika","Kanianka","Slovensko",2008
"Sudkov","Česká republika","Glucholazy","Polsko",2009
"Sudkov","Česká republika","Nitrica","Slovensko",2004
"Štíty","Česká republika","Belvedere Ostrense","Itálie",2008
"Štíty","Česká republika","Niemodlin","Polsko",2007
"Úsov","Česká republika","Lazany","Slovensko",1972
"Jindřichov","Česká republika","Nitrianské Rudno","Slovensko",2003
"Zábřeh","Česká republika","Handlová","Slovensko",1975
"Zábřeh","Česká republika","Ochsenfurt","Německo",1996
"Mohelnice","Česká republika","Radlin","Polsko",2010
"Dolní Studénky","Česká republika","Sebedražie","Slovensko",2005
"Vikýřovice","Česká republika","Cigel´","Slovensko",2005
"Chvalčov","Česká republika","Zusmarshausen","Německo",1991
"Kroměříž","Česká republika","Chateaudun","Francie",1968
"Kroměříž","Česká republika","Krems an der Donau","Rakousko",1994
"Kroměříž","Česká republika","Nitra","Slovensko",1973
"Kroměříž","Česká republika","Piekary Slaskie","Polsko",2002
"Kroměříž","Česká republika","Ramnicu Valcea","Rumunsko",1969
"Holešov","Česká republika","Desinič","Chorvatsko",2007
"Holešov","Česká republika","Považská Bystrica","Slovensko",2009
"Holešov","Česká republika","Psczyna","Polsko",2006
"Holešov","Česká republika","Topolčianky","Slovensko",1971
"Holešov","Česká republika","Turčianské Teplice","Slovensko",2006
"Uherské Hradiště","Česká republika","Krosno","Polsko",2008
"Uherské Hradiště","Česká republika","Mayen","Německo",2008
"Uherské Hradiště","Česká republika","Priverno","Itálie",2008
"Uherské Hradiště","Česká republika","Skalica","Slovensko",2008
"Bojkovice","Česká republika","Trenčanská Turná","Slovensko",1978
"Buchlovice","Česká republika","Horný Hričov","Slovensko",2008
"Buchlovice","Česká republika","Soblahov","Slovensko",2004
"Košíky","Česká republika","Nová Bošáca","Slovensko",2009
"Nivnice","Česká republika","Jablonka","Slovensko",2010
"Pitín","Česká republika","Šajdíkove Humence","Slovensko",1980
"Strání","Česká republika","Euratsfeld","Rakousko",1991
"Strání","Česká republika","Moravské Lieskové","Slovensko",1990
"Tupesy","Česká republika","Nedašovce","Slovensko",2008
"Uherský Brod","Česká republika","Naarden","Nizozemsko",1992
"Uherský Brod","Česká republika","Nové Mesto nad Váhom","Slovensko",0
"Uherský Ostroh","Česká republika","Trenčanská Teplá","Slovensko",1997
"Kunovice","Česká republika","Pocheon","Korea",2007
"Kunovice","Česká republika","Stará Turá","Slovensko",2007
"Valašská Bystřice","Česká republika","Vavrišovo","Slovensko",2008
"Valašské Meziříčí","Česká republika","Budva","Černá Hora",2000
"Valašské Meziříčí","Česká republika","Bussum","Nizozemsko",1990
"Valašské Meziříčí","Česká republika","Čačak","Srbsko",2005
"Valašské Meziříčí","Česká republika","Čadca","Slovensko",2000
"Valašské Meziříčí","Česká republika","Sevlievo","Bulharsko",2005
"Ratiboř","Česká republika","Považská Bystrica, Považska Teplá","Slovensko",1972
"Rožnov pod Radhoštěm","Česká republika","Bergen","Německo",1997
"Rožnov pod Radhoštěm","Česká republika","Körmend","Maďarsko",2005
"Rožnov pod Radhoštěm","Česká republika","Považská Bystrica","Slovensko",1999
"Rožnov pod Radhoštěm","Česká republika","Śrem","Polsko",1998
"Vsetín","Česká republika","Bytom","Polsko",0
"Vsetín","Česká republika","Mödling","Rakousko",0
"Vsetín","Česká republika","Stará Lubovňa","Slovensko",0
"Vsetín","Česká republika","Trenčianaské Teplice","Slovensko",0
"Vsetín","Česká republika","Vrgorac","Chorvatsko",0
"Francova Lhota","Česká republika","Mestečko","Slovensko",2009
"Hutisko-Solanec","Česká republika","Obec Makov","Slovensko",2011
"Lačnov","Česká republika","sdružení obcí Púchovská dolina","Slovensko",1991
"Lukoveček","Česká republika","Kocurany","Slovensko",2008
"Ostrata","Česká republika","Rudník","Slovensko",2008
"Zlín","Česká republika","Altenburg","Německo",1997
"Zlín","Česká republika","Groningen","Nizozemsko",1996
"Zlín","Česká republika","Chorzów","Polsko",1998
"Zlín","Česká republika","Izegem","Belgie",1996
"Zlín","Česká republika","Limbach Oberfrohna","Německo",1998
"Zlín","Česká republika","Romans sur Isére","Francie",1997
"Zlín","Česká republika","Sesto san Giovanni","Itálie",2001
"Zlín","Česká republika","Trenčín","Slovensko",2000
"Bohuslavice u Zlína","Česká republika","Trenčianské Bohuslavice","Slovensko",2001
"Hvozdná","Česká republika","East Bernard","Spojené státy americké",2002
"Hvozdná","Česká republika","Makov","Slovensko",2005
"Luhačovice","Česká republika","Piešťany","Slovensko",2002
"Luhačovice","Česká republika","Topolčany","Slovensko",2008
"Luhačovice","Česká republika","Ustroň","Polsko",2000
"Návojná","Česká republika","Mikušovce","Slovensko",2007
"Otrokovice","Česká republika","Dubnica nad Váhom","Slovensko",1999
"Otrokovice","Česká republika","Zawadzkie","Polsko",2006
"Slavičín","Česká republika","Dubnica nad Váhom","Slovensko",2007
"Slavičín","Česká republika","Horné Srnie","Slovensko",2007
"Slavičín","Česká republika","Uhrovec","Slovensko",1964
"Šanov","Česká republika","Horná Súča","Slovensko",0
"Vizovice","Česká republika","Vrbové","Slovensko",1967
"Bruntál","Česká republika","Büdingen","Německo",2001
"Bruntál","Česká republika","Castellarano","Itálie",2002
"Bruntál","Česká republika","Opole","Polsko",1992
"Bruntál","Česká republika","Plungé","Litva",2005
"Bruntál","Česká republika","Štúrovo","Slovensko",2002
"Horní Benešov","Česká republika","Pszów","Polsko",2000
"Krnov","Česká republika","Glubczyce","Polsko",1991
"Krnov","Česká republika","Karben","Německo",1993
"Krnov","Česká republika","Minsk Mazowiecki","Polsko",2001
"Krnov","Česká republika","Pefki","Řecko",2002
"Krnov","Česká republika","Prudnik","Polsko",2002
"Krnov","Česká republika","Rajec","Slovensko",2010
"Krnov","Česká republika","Saint-Egréve","Francie",1998
"Krnov","Česká republika","Yukon","Spojené státy americké",2004
"Město Albrechtice","Česká republika","Biala","Polsko",2003
"Město Albrechtice","Česká republika","Komprachtice","Polsko",2004
"Osoblaha","Česká republika","Izbicko","Polsko",2007
"Rusín","Česká republika","Glubczyce","Polsko",2000
"Rýmařov","Česká republika","Krompachy","Slovensko",2004
"Rýmařov","Česká republika","Ozimek","Polsko",1997
"Rýmařov","Česká republika","Schotten","Německo",1996
"Světlá Hora","Česká republika","Polska Cerekiew","Polsko",1999
"Světlá Hora","Česká republika","Rieste","Německo",2002
"Úvalno","Česká republika","Branice","Polsko",1992
"Václavov u Bruntálu","Česká republika","Ozimek","Polsko",2008
"Frýdek-Místek","Česká republika","Ames, IOWA","Spojené státy americké",1996
"Frýdek-Místek","Česká republika","Gradačac","Bosna a Hercegovina",2006
"Frýdek-Místek","Česká republika","Jalta, Krym","Ukrajina",0
"Frýdek-Místek","Česká republika","Myslowice","Polsko",2004
"Frýdek-Místek","Česká republika","Nikaia","Řecko",0
"Frýdek-Místek","Česká republika","Powiat Zywiecki","Polsko",2009
"Frýdek-Místek","Česká republika","Urjupinsk","Rusko",0
"Frýdek-Místek","Česká republika","Žilina","Slovensko",2008
"Bruzovice","Česká republika","LODNO","Slovensko",2008
"Frýdlant nad Ostravicí","Česká republika","Friedland- Mecklenburg","Německo",1997
"Frýdlant nad Ostravicí","Česká republika","Friedland-Brandenburg","Německo",1997
"Frýdlant nad Ostravicí","Česká republika","Friedland-Niedersachsen","Německo",1997
"Frýdlant nad Ostravicí","Česká republika","Jalta, Krym","Ukrajina",0
"Frýdlant nad Ostravicí","Česká republika","Korfantow","Polsko",1997
"Frýdlant nad Ostravicí","Česká republika","Mieroszow","Polsko",1997
"Frýdlant nad Ostravicí","Česká republika","Powiat Zywiecki","Polsko",2009
"Frýdlant nad Ostravicí","Česká republika","Žilina","Slovensko",2008
"Jablunkov","Česká republika","Gogolin","Polsko",1998
"Jablunkov","Česká republika","Siemianowice Śląskie","Polsko",1998
"Lhotka","Česká republika","Jasienica","Polsko",2004
"Lhotka","Česká republika","Mníchova Lehota","Slovensko",2004
"Lhotka","Česká republika","Sihelné","Slovensko",2010
"Mosty u Jablunkova","Česká republika","Svrčinovec","Slovensko",2005
"Mosty u Jablunkova","Česká republika","Węgierska Górka","Polsko",2009
"Řepiště","Česká republika","Repiste","Slovensko",1990
"Vendryně","Česká republika","Čierné","Slovensko",2006
"Vendryně","Česká republika","Goleszów","Polsko",2003
"Dobratice","Česká republika","Zábiedovo","Slovensko",2008
"Dolní Tošanovice","Česká republika","Varín","Slovensko",2010
"Horní Tošanovice","Česká republika","Jaszszentandras","Maďarsko",2005
"Horní Tošanovice","Česká republika","Jaworze","Polsko",2002
"Horní Tošanovice","Česká republika","Strečno","Slovensko",2001
"Pržno","Česká republika","Krasňany","Slovensko",2010
"Pržno","Česká republika","Staškov","Slovensko",2008
"Košařiska","Česká republika","Dunajov","Slovensko",2007
"Košařiska","Česká republika","Rajcza","Polsko",2009
"Milíkov","Česká republika","Rakova","Slovensko",1996
"Písek","Česká republika","GOGOLIN  GOGOLIN","Polsko",1995
"Písek","Česká republika","PIETRKOVICE","Polsko",1995
"Písek","Česká republika","SZCZRK","Polsko",2005
"Havířov","Česká republika","Collegno","Itálie",1998
"Havířov","Česká republika","Harlow","Velká Británie",1990
"Havířov","Česká republika","Jastrzebie-Zdrój","Polsko",1990
"Havířov","Česká republika","Mažeikiai","Litva",1995
"Havířov","Česká republika","Omiš","Chorvatsko",2004
"Havířov","Česká republika","Paide","Estonsko",2005
"Havířov","Česká republika","Turčianské Teplice","Slovensko",2009
"Albrechtice","Česká republika","Debowiec","Polsko",1995
"Český Těšín","Česká republika","Cieszyn","Polsko",1996
"Český Těšín","Česká republika","Rožňava","Slovensko",2001
"Dětmarovice","Česká republika","Hažlach","Polsko",2011
"Bohumín","Česká republika","Gorzyce","Polsko",2007
"Bohumín","Česká republika","Krzyźanowice","Polsko",2010
"Bohumín","Česká republika","Prudnik","Polsko",2000
"Orlová","Česká republika","Crikvenica","Chorvatsko",2009
"Orlová","Česká republika","Czechowice-Dziedzice","Polsko",1993
"Orlová","Česká republika","Illnau-Effretikon","Švýcarsko",1990
"Orlová","Česká republika","Rydultowy","Polsko",1992
"Petřvald","Česká republika","Jasienica","Polsko",2002
"Petřvald","Česká republika","Strumień","Polsko",2002
"Nový Jičín","Česká republika","Epinal","Francie",0
"Nový Jičín","Česká republika","Görlitz","Německo",1981
"Nový Jičín","Česká republika","Kremnica","Slovensko",0
"Nový Jičín","Česká republika","Ludwigsburg","Německo",0
"Nový Jičín","Česká republika","Novellara","Itálie",1964
"Nový Jičín","Česká republika","Switochlovice","Polsko",1994
"Bílovec","Česká republika","Bad Neustadt","Německo",2001
"Bílovec","Česká republika","Kietrz","Polsko",2001
"Hodslavice","Česká republika","Príbovce","Slovensko",0
"Kopřivnice","Česká republika","Castiglione del Lago","Itálie",0
"Kopřivnice","Česká republika","Congleton","Velká Británie",0
"Kopřivnice","Česká republika","Myszków","Polsko",0
"Kopřivnice","Česká republika","Trappes","Francie",0
"Kopřivnice","Česká republika","Zwönitz","Německo",0
"Odry","Česká republika","Kuznia Raciborská","Polsko",2000
"Odry","Česká republika","Niefern-Öschelbronn","Německo",1998
"Studénka","Česká republika","Turany","Slovensko",2005
"Suchdol nad Odrou","Česká republika","Herrnhut","Německo",1995
"Suchdol nad Odrou","Česká republika","Karlstetten","Rakousko",2006
"Vražné","Česká republika","Babín","Slovensko",2011
"Vražné","Česká republika","Vasilov","Slovensko",2009
"Veřovice","Česká republika","Hendungen","Německo",1996
"Veřovice","Česká republika","Lampertswalde","Německo",1981
"Mošnov","Česká republika","Dražkovce","Slovensko",2008
"Ženklava","Česká republika","Uhingen","Německo",1992
"Vítkov","Česká republika","Kalety","Polsko",1994
"Vítkov","Česká republika","Vrbové","Slovensko",2009
"Háj ve Slezsku","Česká republika","Liptovské Sliače","Slovensko",1973
"Hlučín","Česká republika","Namyslow","Polsko",2000
"Hlučín","Česká republika","Nebelschűtz","Německo",2000
"Hlučín","Česká republika","Ružomberok","Slovensko",1995
"Hlučín","Česká republika","Santa Maria del Cedro","Itálie",2004
"Opava","Česká republika","Katovice","Polsko",2005
"Opava","Česká republika","Liptovský Mikuláš","Slovensko",1964
"Opava","Česká republika","Raciborz","Polsko",1991
"Opava","Česká republika","Roth","Německo",2001
"Opava","Česká republika","Tsukuba","Japonsko",2005
"Opava","Česká republika","Zywiec","Polsko",2008
"Kravaře","Česká republika","Lisková","Slovensko",0
"Kravaře","Česká republika","Wozniky","Polsko",0
"Ludgeřovice","Česká republika","Liptovská Kokava","Slovensko",2007
"Ludgeřovice","Česká republika","Nowy Zmigród","Polsko",2006
"Ludgeřovice","Česká republika","Putnok","Maďarsko",2006
"Ludgeřovice","Česká republika","Tisovec","Slovensko",2000
"Píšť","Česká republika","Gmina Krzyzanowice","Polsko",1998
"Pustá Polom","Česká republika","Gemerská Polom","Slovensko",2008
"Pustá Polom","Česká republika","Poloma","Slovensko",2008
"Pustá Polom","Česká republika","Polomka","Slovensko",2008
