"i","l","g","c","o"
"S-568830","49.7333737524606","18.3170694492325","Řepiště","Česká republika"
"S-554928","49.6666134022658","18.7130583826757","Vendryně","Česká republika"
"S-552542","49.6603917841012","18.4922541852019","Dobratice","Česká republika"
"S-552607","49.6841572988623","18.4884502552315","Dolní Tošanovice","Česká republika"
"S-552631","49.6923720720821","18.5053108382817","Horní Tošanovice","Česká republika"
"S-507181","49.6134758217797","18.3615976930254","Pržno","Česká republika"
"S-507458","49.5900868123961","18.6946209519588","Košařiska","Česká republika"
"S-507547","49.5856511807305","18.7194052374931","Milíkov","Česká republika"
"S-512028","49.5592416521942","18.8022778053687","Písek","Česká republika"
"S-555088","49.7798417557542","18.436880475432","Havířov","Česká republika"
"S-598925","49.7864501977178","18.5244355608735","Albrechtice","Česká republika"
"S-598933","49.7461291371347","18.6261249330965","Český Těšín","Česká republika"
"S-598941","49.8941106646715","18.4608017758813","Dětmarovice","Česká republika"
"S-599051","49.904101627651","18.3575566349348","Bohumín","Česká republika"
"S-599069","49.8452615593676","18.4301156002389","Orlová","Česká republika"
"S-599085","49.8309946245956","18.3894095604193","Petřvald","Česká republika"
"S-599191","49.5943774293638","18.0102744548323","Nový Jičín","Česká republika"
"S-599247","49.756387766296","18.0158158544585","Bílovec","Česká republika"
"S-599409","49.5385644911168","18.0236704545713","Hodslavice","Česká republika"
"S-599565","49.5994731539106","18.144796783931","Kopřivnice","Česká republika"
"S-599701","49.6625506591536","17.8308445320806","Odry","Česká republika"
"S-599921","49.7234179870473","18.0785284074552","Studénka","Česká republika"
"S-599930","49.6557230638101","17.9281567122824","Suchdol nad Odrou","Česká republika"
"S-554910","49.6286915578091","17.8666668095328","Vražné","Česká republika"
"S-500259","49.539167917634","18.114246711295","Veřovice","Česká republika"
"S-568686","49.6890444486136","18.1324658898256","Mošnov","Česká republika"
"S-568732","49.5635760319094","18.107183256456","Ženklava","Česká republika"
"S-511021","49.7744513350882","17.7494163654644","Vítkov","Česká republika"
"S-506753","49.8999308499893","18.0930447863898","Háj ve Slezsku","Česká republika"
"S-507016","49.8979492133468","18.1919660571717","Hlučín","Česká republika"
"S-505927","49.9386619825588","17.9025815019811","Opava","Česká republika"
"S-507580","49.9320306096992","18.0047320865885","Kravaře","Česká republika"
"S-507971","49.890419166154","18.2400927105381","Ludgeřovice","Česká republika"
"S-509647","49.9785650755844","18.1935095699235","Píšť","Česká republika"
"S-509736","49.8491722859671","17.9979063735622","Pustá Polom","Česká republika"
"S-510432","49.9260203148107","18.2701788024846","Šilheřovice","Česká republika"
"S-510483","49.9573803097979","18.0374248866703","Štěpánkovice","Česká republika"
"S-510882","49.8635926832213","18.0933153560169","Velká Polom","Česká republika"
"S-554821","49.8346423347359","18.282050395995","Ostrava","Česká republika"
"S-598739","49.7277524875622","18.1884984460177","Stará Ves nad Ondřejnicí","Česká republika"
"S-598798","49.7931478608601","18.3760679004035","Šenov","Česká republika"
"F-2157","50.2483932","12.0351604","Rehau","Německo"
"F-2158","50.4976133","12.1368679","Plauen","Německo"
"F-2159","50.4166667","12.1666667","Oelsnitz","Německo"
"F-2160","37.7950174","15.2103915","Fiumefreddo di Sicilia","Itálie"
"F-2162","47.04236","7.54137","Hindelbank","Švýcarsko"
"F-2163","49.5820959","12.5193822","Eslarn","Německo"
"F-2165","48.2543374","17.2119074","Svätý Jur","Slovensko"
"F-2166","49.8004763","8.8237674","Gross Bieberau","Německo"
"F-2168","49.8594669","8.7524067","Rossdorf","Německo"
"F-2169","51.2955584","11.5990541","Reinsdorf","Německo"
"F-2170","48.3343384","17.3069496","Modra","Slovensko"
"F-2172","50.9758426","13.8661223","Heidenau","Německo"
"F-2174","52.0319447","4.3176885","Rijswijk","Nizozemsko"
"F-2175","51.9083343","10.4465753","Goslar","Německo"
"F-2176","13.360614","-86.398154","Condega","Nikaragua"
"F-2177","50.8608509","17.4668311","Brzeg","Polsko"
"F-2179","49.9803214","12.0645204","Waldershof","Německo"
"F-2180","49.930112","11.9993067","Pullenreuth","Německo"
"F-2182","49.2026191","21.6518245","Stropkov","Slovensko"
"F-2183","57.3308698","10.5166278","Saeby","Dánsko"
"F-2184","50.7333333","24.1666667","Nowowolynsk","Ukrajina"
"F-2185","50.8951322","13.6684411","Dippoldiswalde","Německo"
"F-2186","49.1337354","10.0633573","Crailsheim","Německo"
"F-2187","50.54099","22.72198","Bilgoraj","Polsko"
"F-2188","44.127204","4.083352","Ales","Francie"
"F-2190","50.08005","18.00413","Kietrz","Polsko"
"F-2191","50.3230337","10.2028107","Bad Neustadt","Německo"
"F-2193","44.5975185","10.6917222","SCANDIANO","Itálie"
"F-2194","47.60687","15.67171","MÜRZZUSCHLAG","Rakousko"
"F-2195","51.2070067","16.1553231","LEGNICA","Polsko"
"F-2196","47.7625006","18.1305954","KOMÁRNO","Slovensko"
"F-2197","43.781493","1.405246","BOULOC","Francie"
"F-2199","49.0591659","19.9795396","Važec","Slovensko"
"F-2200","50.8242287","10.0230737","Vacha","Německo"
"F-2201","48.0322109","0.240253","Sarge-Les-Le Mans","Francie"
"F-2202","47.239232","7.8222057","Roggwil","Švýcarsko"
"F-2204","50.7396905","11.8749304","Triptis","Německo"
"F-2205","49.2206446","12.0854957","Teublitz","Německo"
"F-2207","50.3206779","17.5742264","Prudnik","Polsko"
"F-2208","49.9829811","18.2684612","Krzyźanowice","Polsko"
"F-2209","50.6669191","21.8403117","Gorzyce","Polsko"
"F-2211","48.8503495","18.0184697","Trenčanská Turná","Slovensko"
"F-2213","49.541866","12.163052","Wernberg-Köblitz","Německo"
"F-2214","49.6474338","12.4082059","Pleystein","Německo"
"F-2216","51.76623","20.25623","Rawa Mazowiecka","Polsko"
"F-2217","48.2192418","18.6065015","Levice","Slovensko"
"F-2218","50.667325","3.619152","Frasnes-lez-Anvaing","Belgie"
"F-2220","43.327037","10.627037","Montescudaio","Itálie"
"F-2221","47.5975105","19.3480017","Gödölló","Maďarsko"
"F-2222","48.89091","26.849582","Dunajevec","Ukrajina"
"F-2224","51.65","39.2","Voroněž","Rusko"
"F-2225","48.2081743","16.3738189","Vídeň","Rakousko"
"F-2226","52.0901422","5.1096649","Utrecht","Nizozemsko"
"F-2227","48.7754181","9.1817588","Stuttgart","Německo"
"F-2228","48.20353","15.63817","St. Poelten","Rakousko"
"F-2229","48.113475","-1.675708","Rennes","Francie"
"F-2230","52.406374","16.9251681","Poznaň","Polsko"
"F-2231","55.75","37.6166667","Moskva","Rusko"
"F-2232","51.3490384","12.3938226","Lipsko","Německo"
"F-2233","53.801279","-1.548567","Leeds","Velká Británie"
"F-2234","54.8968721","23.8924264","Kaunas","Litva"
"F-2235","49.9935","36.230383","Charkov","Ukrajina"
"F-2236","32.6425241","-96.8284343","Dallas","Spojené státy americké"
"F-2238","47.7987129","18.7204192","Štúrovo","Slovensko"
"F-2239","55.9124675","21.8459995","Plungé","Litva"
"F-2240","50.670428","17.9244381","Opole","Polsko"
"F-2241","44.5115475","10.7306576","Castellarano","Itálie"
"F-2242","50.2862963","9.1113838","Büdingen","Německo"
"F-2244","48.6108","16.43466","Zwentendorf","Rakousko"
"F-2245","48.3735186","17.5951127","Trnava","Slovensko"
"F-2246","41.4734263","13.1817159","Priverno","Itálie"
"F-2249","48.6651056","17.5401902","Brezová pod Bradlom","Slovensko"
"F-2250","49.8548934","19.3412842","Andrychóv","Polsko"
"F-2252","52.967729","12.983361","Lindow - Mark","Německo"
"F-2254","48.8903354","21.6829836","Vranov nad Toplou","Slovensko"
"F-2255","50.8173491","12.3906771","Crimmitchau","Německo"
"F-2257","47.398435","-0.537242","Murs-Erigné","Francie"
"F-2258","51.9411082","11.4281059","Egeln","Německo"
"F-2261","49.5576543","16.4211632","Olesnice- okres nikoli město","Polsko"
"F-2262","50.4305778","18.1872243","Lešnica","Polsko"
"F-2263","49.7811081","9.9861364","Gerbrunn","Německo"
"F-2265","50.4039735","16.5073008","Miasto i Gmina Polanica Zdroj","Polsko"
"F-2268","49.0600164","20.2071213","Svit","Slovensko"
"F-2269","50.9459276","17.2924017","Olawa","Polsko"
"F-2270","45.5755478","9.351072","Agrate Brianza","Itálie"
"F-2272","50.6076846","10.6881255","Suhl","Německo"
"F-2273","48.5667364","13.4319466","Pasov","Německo"
"F-2274","48.3098916","18.0858758","Nitra","Slovensko"
"F-2275","47.7482524","-3.3702449","Lorient","Francie"
"F-2276","48.30694","14.28583","Linec","Rakousko"
"F-2278","48.00334","13.65613","Vöcklabruck","Rakousko"
"F-2279","46.5111299","15.0803219","Slovenj Gradec","Slovinsko"
"F-2280","43.4703333","11.0437592","San Gimignano","Itálie"
"F-2281","25.790654","-80.1300455","Miami Beach","Spojené státy americké"
"F-2283","49.0441667","24.3597222","Kaluš","Ukrajina"
"F-2284","48.652865","13.6255062","Hauzenberg","Německo"
"F-2286","48.6628294","20.533863","Rožňava","Slovensko"
"F-2287","49.7497638","18.6354709","Cieszyn","Polsko"
"F-2290","48.79184","15.40474","Gross-Siegharts","Rakousko"
"F-2292","49.081876","19.3077347","Ružomberk","Slovensko"
"F-2294","50.9527757","13.9381737","Pirna","Německo"
"F-2295","55.0728562","24.2791208","Jonava","Litva"
"F-2297","50.5046222","16.3972702","Radków","Polsko"
"F-2298","50.6828036","16.7434759","Pilawa Górna","Polsko"
"F-2299","51.6551687","16.9564843","Miejska Górka","Polsko"
"F-2300","46.8110816","17.5644593","Abrahámhegy","Maďarsko"
"F-2302","48.9693145","12.1646501","Obertraubling","Německo"
"F-2303","45.906714","15.591668","Brežice","Slovinsko"
"F-2305","50.8422","14.7428","Oybin","Německo"
"F-2306","50.9245","16.10378","Bolków","Polsko"
"F-2308","48.621631","6.160576","Ludres","Francie"
"F-2309","49.3101132","12.8387951","Furth im Wald","Německo"
"F-2310","48.37391","15.61369","Furth bei Göttweig","Rakousko"
"F-2312","50.8083724","13.4121873","Mulda","Německo"
"F-2313","49.7019294","9.2559213","Miltenberg","Německo"
"F-2315","49.274228","2.517388","Verneuil en Halatte","Francie"
"F-2316","42.970225","12.085975","Piegaro","Itálie"
"F-2318","49.2195481","18.7412735","Žilina","Slovensko"
"F-2319","50.8","42.0166667","Urjupinsk","Rusko"
"F-2320","49.6089747","19.2130256","Powiat Zywiecki","Polsko"
"F-2321","37.968175","23.643535","Nikaia","Řecko"
"F-2322","50.2080466","19.1660513","Myslowice","Polsko"
"F-2323","44.495205","34.166301","Jalta, Krym","Ukrajina"
"F-2324","44.874722","18.4291","Gradačac","Bosna a Hercegovina"
"F-2326","42.02335","-93.625622","Ames, IOWA","Spojené státy americké"
"F-2328","50.6659","16.18882","Mieroszow","Polsko"
"F-2329","50.4888579","17.5989754","Korfantow","Polsko"
"F-2331","51.421098","9.9121688","Friedland-Niedersachsen","Německo"
"F-2332","52.1069816","14.2631577","Friedland-Brandenburg","Německo"
"F-2333","53.6702083","13.5566433","Friedland- Mecklenburg","Německo"
"F-2335","48.8636263","18.8633405","Turčianské Teplice","Slovensko"
"F-2336","58.8814809","25.5490263","Paide","Estonsko"
"F-2337","43.4440663","16.6921719","Omiš","Chorvatsko"
"F-2338","56.3108715","22.3480243","Mažeikiai","Litva"
"F-2339","49.9547281","18.574813","Jastrzebie-Zdrój","Polsko"
"F-2341","45.0777469","7.5703792","Collegno","Itálie"
"F-2343","48.419396","18.4124894","Topolčianky","Slovensko"
"F-2345","39.7473079","15.8374594","Santa Maria del Cedro","Itálie"
"F-2346","49.081876","19.3077347","Ružomberok","Slovensko"
"F-2347","51.262423","14.1586388","Nebelschűtz","Německo"
"F-2348","51.07588","17.72244","Namyslow","Polsko"
"F-2350","51.2879708","15.2299326","Wegliniec","Polsko"
"F-2352","48.5423","16.76059","Zistersdorf","Rakousko"
"F-2353","48.6296066","21.7197396","Trebišov","Slovensko"
"F-2354","51.571499","10.949238","Stolberg/Harz","Německo"
"F-2355","49.7445663","21.4722875","Jaslo","Polsko"
"F-2356","48.8081982","17.1624456","Holíč","Slovensko"
"F-2357","43.9584444","12.7386111","Cattolica","Itálie"
"F-2359","49.9857805","18.9477092","Psczyna","Polsko"
"F-2360","49.1173313","18.4483676","Považská Bystrica","Slovensko"
"F-2361","46.1483713","15.6682287","Desinič","Chorvatsko"
"F-2363","50.51092","18.29987","Strzelce Opolskie","Polsko"
"F-2364","48.6996956","20.8925063","Medzev","Slovensko"
"F-2367","49.4189241","11.8899655","Kümmersbruck","Německo"
"F-2369","46.7862262","7.6079043","Heimberg","Švýcarsko"
"F-2371","50.0400034","18.3943993","Pszów","Polsko"
"F-2373","50.5435667","12.0783298","Syrau","Německo"
"F-2374","50.3045979","19.3880198","Slawkow","Polsko"
"F-2375","50.0577948","12.1893693","Arzberg","Německo"
"F-2377","49.3613806","19.6139476","Trstená","Slovensko"
"F-2378","47.5602543","19.2834633","Kerepes","Maďarsko"
"F-2379","49.4794404","19.6937369","Jablonka","Polsko"
"F-2382","49.6861354","8.6187296","Bensheim","Německo"
"F-2384","51.1078852","17.0385376","Wroclaw","Polsko"
"F-2385","50.7840092","16.2843553","Walbrzych","Polsko"
"F-2386","49.119666","6.176905","Metz","Francie"
"F-2387","43.5539997","16.3655","Kaštela","Chorvatsko"
"F-2388","50.5871416","8.6909259","Giessen","Německo"
"F-2389","51.4982","31.28935","Černihiv","Ukrajina"
"F-2390","48.736277","19.1461917","Banská Bystrica","Slovensko"
"F-2391","51.9851034","5.8987296","Arnhem","Nizozemsko"
"F-2392","44.9132168","8.6169507","Alessandria","Itálie"
"F-2394","52.0825908","4.3963503","Leidschendam-Voorburg","Nizozemsko"
"F-2395","52.0938717","21.117722","Konstancin-Jeziorna","Polsko"
"F-2396","48.4248462","17.8040044","Hlohovec","Slovensko"
"F-2398","50.4427156","16.2426605","Kudowa Zdroj","Polsko"
"F-2399","50.6907986","16.6229286","Bielawa","Polsko"
"F-2403","52.0057368","6.0279594","Rheden","Nizozemsko"
"F-2404","57.9166667","59.9666667","Nižní Tagil","Rusko"
"F-2405","50.3135391","11.9127814","Hof","Německo"
"F-2407","48.815052","19.5744054","Valaská","Slovensko"
"F-2409","49.5651125","9.7003795","Lauda-Königshofen","Německo"
"F-2410","51.797014","11.73421","Bernburg","Německo"
"F-2411","44.404025","8.680979","Arenzano","Itálie"
"F-2412","50.578587","13.0075835","Annaberg-Buchholz","Německo"
"F-2414","51.1095792","15.5905136","Lwówek Śląski","Polsko"
"F-2415","48.8912508","11.189986","Eichstätt","Německo"
"F-2417","49.3062472","21.5683369","Svidník","Slovensko"
"F-2418","51.2134346","17.3898504","Olešnica","Polsko"
"F-2419","52.0436111","5.6666667","Ede","Nizozemsko"
"F-2421","48.2749212","17.0318863","Stupava","Slovensko"
"F-2422","45.641437","0.192981","Soyaux","Francie"
"F-2423","48.2045764","17.6424312","Sládkovičovo","Slovensko"
"F-2424","46.3437099","14.1718453","Radovljica","Slovinsko"
"F-2426","50.7102169","12.4733725","Zwickau","Německo"
"F-2427","47.8830175","10.625966","Kaufbeuren","Německo"
"F-2428","50.9044171","15.7193616","Jelení Hora","Polsko"
"F-2429","51.177515","14.4334217","Budyšín","Německo"
"F-2431","50.3264314","19.0295714","Siemianowice Śląskie","Polsko"
"F-2432","50.4919804","18.0199044","Gogolin","Polsko"
"F-2434","49.1908773","12.9942284","Arrach","Německo"
"F-2436","50.5983","17.03888","Ziębice","Polsko"
"F-2438","50.44459","16.87578","Zloty Stok","Polsko"
"F-2439","50.4660686","17.1733617","Otmuchów","Polsko"
"F-2441","54.0498","21.1458","Reszel","Polsko"
"F-2442","48.84812","15.4918","Raabs an der Thaya","Rakousko"
"F-2445","50.4809563","17.335461","Nysa","Polsko"
"F-2446","48.7302674","11.1887693","Neuburg an der Donau","Německo"
"F-2447","50.31512","17.38347","Glucholazy","Polsko"
"F-2448","48.7787533","18.5829538","Bojnice","Slovensko"
"F-2452","48.3273294","9.8926673","Erbach","Německo"
"F-2454","48.6208","22.287883","Užhorod","Ukrajina"
"F-2455","52.5143815","4.9640611","Purmerend","Nizozemsko"
"F-2456","48.6835077","10.1544437","Heidenheim","Německo"
"F-2458","41.947037","16.0134909","Peschici","Itálie"
"F-2459","48.6394255","9.0181128","Holzgerlingen","Německo"
"F-2461","48.6058022","15.1662133","Zwettl","Rakousko"
"F-2462","49.3866401","8.802281","Neckargemünd","Německo"
"F-2464","50.8666883","13.3236602","Brand-Erbisdorf","Německo"
"F-2466","50.733333","4.233333","Halle","Belgie"
"F-2467","50.5873296","12.699016","Aue","Německo"
"F-2469","48.35961","14.89969","St. Georgen am Walde","Rakousko"
"F-2470","52.01327","16.52708","Śmigiel","Polsko"
"F-2474","43.874537","10.2568888","Viareggio","Itálie"
"F-2475","57.107118","12.2520907","Varberg","Švédsko"
"F-2476","46.1679583","8.7889791","Locarno","Švýcarsko"
"F-2477","35.0131341","135.959936","Kusatsu","Japonsko"
"F-2478","41.4929005","13.8305659","Cassino","Itálie"
"F-2479","33.1580933","-117.3505939","Carlsbad","Spojené státy americké"
"F-2480","49.9197888","7.0626677","Bernkastel-Kues","Německo"
"F-2481","48.76564","8.2285242","Baden-Baden","Německo"
"F-2483","49.2982047","12.9150633","Eschlkam","Německo"
"F-2485","50.6286597","13.1200959","Grossrückerswalde","Německo"
"F-2486","52.2131825","5.2864096","Baarn","Nizozemsko"
"F-2488","46.836429","5.7091","Poligny","Francie"
"F-2489","56.45","60.1833333","Polevskoj","Rusko"
"F-2490","49.2238643","12.6620845","Cham","Německo"
"F-2491","52.512383","4.674997","Heemskerk","Nizozemsko"
"F-2493","50.8498434","16.475679","Swidnica","Polsko"
"F-2495","50.6320683","12.8095151","Zwönitz","Německo"
"F-2496","48.776731","2.001844","Trappes","Francie"
"F-2497","50.5706845","19.3144637","Myszków","Polsko"
"F-2498","53.162856","-2.218923","Congleton","Velká Británie"
"F-2499","43.1281296","12.0462592","Castiglione del Lago","Itálie"
"F-2501","50.65","11.9833333","Zeulenroda-Triebes","Německo"
"F-2502","48.7504728","17.5651643","Myjava","Slovensko"
"F-2504","44.75423","19.699751","Sabac","Srbsko"
"F-2505","52.6320478","13.2011404","Henningsdorf","Německo"
"F-2506","42.48343","3.128874","Banyuls sur Mer","Francie"
"F-2508","50.370718","12.4681708","Klingenthal","Německo"
"F-2510","50.58846","19.06019","Wozniky","Polsko"
"F-2511","49.0879716","19.351319","Lisková","Slovensko"
"F-2513","64.2823274","-135","Yukon","Spojené státy americké"
"F-2514","45.233131","5.681538","Saint-Egréve","Francie"
"F-2515","49.0896182","18.6332053","Rajec","Slovensko"
"F-2516","38.057269","23.790543","Pefki","Řecko"
"F-2517","52.1792836","21.5721057","Minsk Mazowiecki","Polsko"
"F-2518","50.2303566","8.7736533","Karben","Německo"
"F-2519","50.20027","17.8287","Glubczyce","Polsko"
"F-2521","45.1047222","24.3755556","Ramnicu Valcea","Rumunsko"
"F-2522","50.3789108","18.9270475","Piekary Slaskie","Polsko"
"F-2523","48.40999","15.60384","Krems an der Donau","Rakousko"
"F-2524","48.070369","1.327696","Chateaudun","Francie"
"F-2526","48.4470195","17.7642099","Leopoldov","Slovensko"
"F-2528","50.4359468","18.8460247","Tarnowskie Góry","Polsko"
"F-2529","41.0534302","-73.5387341","Stamford Twinning Association","Velká Británie"
"F-2530","55.442952","11.791372","Ringsted","Dánsko"
"F-2531","49.258329","4.031696","Remeš","Francie"
"F-2532","48.7051133","18.9159319","Kremnica","Slovensko"
"F-2533","48.6833333","26.5833333","Kamenec Podolský","Ukrajina"
"F-2534","44.865102","10.061731","Fidenza","Itálie"
"F-2535","47.9031987","20.3731077","Eger","Maďarsko"
"F-2536","5.958647","10.14751","Bamenda","Kamerun"
"F-2538","49.617779","0.755212","Yvetot","Francie"
"F-2539","43.9945025","10.2275101","Seravezza","Itálie"
"F-2540","48.56911","16.07764","Hollabrunn","Rakousko"
"F-2541","43.9378311","15.4444164","Biograd na Moru","Chorvatsko"
"F-2543","50.0612012","11.60227","Himmelkron","Německo"
"F-2545","52.5103662","21.0691044","Serock","Polsko"
"F-2546","49.1373227","20.4295429","Kežmarok","Slovensko"
"F-2547","50.7308605","16.6567892","Dzierzoniów","Polsko"
"F-2548","42.6489074","12.2043888","Castiglione in Teverina","Itálie"
"F-2550","50.7197493","16.8357165","Niemcza","Polsko"
"F-2551","47.24383","8.53383","Hausen am Albis","Švýcarsko"
"F-2553","51.1617842","13.4976592","Meissen","Německo"
"F-2554","50.5558095","9.6808449","Fulda","Německo"
"F-2555","8.6253193","123.3945709","Dapitan","Filipíny"
"F-2556","14.1876712","121.1250825","Calamba","Filipíny"
"F-2557","50.691652","2.884218","Armentieres","Francie"
"F-2559","53.138874","6.429725","Noordenveld - Roden","Nizozemsko"
"F-2561","49.0260192","20.5888751","Levoča","Slovensko"
"F-2563","49.9870619","20.0647971","Wieliczka","Polsko"
"F-2564","48.6835829","20.1143883","Revúca","Slovensko"
"F-2565","50.1790184","18.9038037","Mikolow","Polsko"
"F-2566","47.0507712","8.2648094","Littau","Švýcarsko"
"F-2568","50.6568727","13.3411267","Olbernhau","Německo"
"F-2569","48.6912267","2.6103697","Brie-Comte-Robert","Francie"
"F-2571","48.2253313","10.1012701","Illertissen","Německo"
"F-2573","50.7501486","13.0729289","Zschopau","Německo"
"F-2574","48.377846","2.7951609","Veneux - Les Sablons","Francie"
"F-2575","48.3298602","19.6637354","Lučenec","Slovensko"
"F-2576","51.854654","4.535238","Barendrecht","Nizozemsko"
"F-2578","49.719657","18.8120576","Ustroň","Polsko"
"F-2579","48.5584441","18.171697","Topolčany","Slovensko"
"F-2580","48.5892019","17.834105","Piešťany","Slovensko"
"F-2582","49.6743636","12.1489337","Weiden","Německo"
"F-2583","48.642446","2.2298809","Marcoussis","Francie"
"F-2584","43.0450185","11.8134444","Chianciano","Itálie"
"F-2585","50.225361","8.620276","Bad Homburg","Německo"
"F-2587","47.3263066","8.7997303","Wetzikon","Švýcarsko"
"F-2588","41.5227609","23.3927569","Sandanski - Melnik","Bulharsko"
"F-2589","50.0587","22.49377","Przeworsk","Polsko"
"F-2590","52.752674","13.2394519","Oranienburg","Německo"
"F-2592","50.636153","17.8262075","Komprachtice","Polsko"
"F-2593","49.8223768","19.0583845","Biala","Polsko"
"F-2595","48.43552","14.78529","Unterweissenbach","Rakousko"
"F-2596","47.0214931","7.4468409","Münchenbuchsee","Švýcarsko"
"F-2597","47.966038","-1.796747","Guichen","Francie"
"F-2599","51.1259316","15.9213852","Zlotoryia","Polsko"
"F-2600","50.4166667","12.1666667","Oelzsnitz","Německo"
"F-2601","48.4261502","18.6365627","Nová Baňa","Slovensko"
"F-2603","48.2543374","17.2119074","Svaty Jur","Slovensko"
"F-2605","46.9554","7.33709","Frauenkappelen","Švýcarsko"
"F-2607","43.6561359","11.449096","Incisa in Val d´Arno","Itálie"
"F-2608","49.9522194","8.6389773","Erzhausen","Německo"
"F-2610","50.0491414","18.4768769","Radlin","Polsko"
"F-2612","51.907951","4.336366","Vlaardingen","Nizozemsko"
"F-2613","51.35","9.5997222","Stauffenberg","Německo"
"F-2614","48.4586529","18.8930346","Banská Štiavnica","Slovensko"
"F-2616","52.697361","6.197334","Meppel","Nizozemsko"
"F-2617","50.6503661","13.1622883","Marienberg","Německo"
"F-2619","49.2712185","21.9035368","Medzilaborce","Slovensko"
"F-2621","49.1223045","20.2672025","Nová Lesná","Slovensko"
"F-2623","49.6473215","18.867739","Wisla","Polsko"
"F-2624","51.231059","6.037361","Swalmen (Roermond)","Nizozemsko"
"F-2625","46.3678333","11.0776666","Sanzeno","Itálie"
"F-2626","48.3542872","19.0668757","Krupina","Slovensko"
"F-2627","49.869025","11.8888884","Kemnath","Německo"
"F-2629","55.5254221","25.1037901","Anyksciai","Litva"
"F-2631","51.1129963","13.9142216","Radeberg","Německo"
"F-2633","48.86571","15.12025","Heidenreichstein","Rakousko"
"F-2635","48.70073","14.89717","Weitra","Rakousko"
"F-2636","50.148862","2.906806","Vaulx-Vraucourt","Francie"
"F-2638","46.2875185","11.567037","Ziano di Fiemme","Itálie"
"F-2639","51.387577","5.448807","Waalre","Nizozemsko"
"F-2645","53.395794","-2.571767","Warrington","Velká Británie"
"F-2646","51.1678567","6.9352253","Hilden","Německo"
"F-2647","50.404284","16.3904407","Duszniki Zdrój","Polsko"
"F-2649","50.9087219","15.3431045","Świeradów-Zdrój","Polsko"
"F-2650","50.9704636","15.3858774","Mirsk","Polsko"
"F-2651","51.8419861","16.5937545","Leśna","Polsko"
"F-2653","51.4177778","57.5833333","Mednogorsk","Rusko"
"F-2656","46.170448","20.759769","Nadlac","Rumunsko"
"F-2657","45.4812777","7.9067222","Cascinette d´ Ivrea","Itálie"
"F-2658","48.806356","19.6438876","Brezno","Slovensko"
"F-2660","50.2964328","18.9171297","Switochlovice","Polsko"
"F-2661","44.8439074","10.7286111","Novellara","Itálie"
"F-2662","48.8940624","9.195464","Ludwigsburg","Německo"
"F-2663","51.1506269","14.968707","Görlitz","Německo"
"F-2664","48.172402","6.449403","Epinal","Francie"
"F-2666","48.914523","8.7846845","Niefern-Öschelbronn","Německo"
"F-2667","50.20009","18.31153","Kuznia Raciborská","Polsko"
"F-2669","52.0263009","5.5544309","Veenendaal","Nizozemsko"
"F-2670","61.49816","23.7610554","Tampere","Finsko"
"F-2671","46.1002778","19.6655556","Subotica","Srbsko"
"F-2672","46.0713242","18.2331772","Pécs","Maďarsko"
"F-2673","37.7719074","-87.1111676","Owensboro","Spojené státy americké"
"F-2674","48.850178","10.4981249","Noerdligen","Německo"
"F-2675","47.0503348","8.3156129","Luzern","Švýcarsko"
"F-2676","48.759255","2.302553","Antony","Francie"
"F-2678","49.6912999","19.1823983","Zywiec","Polsko"
"F-2679","36.0834857","140.0766423","Tsukuba","Japonsko"
"F-2680","49.1317196","11.1239136","Roth","Německo"
"F-2681","50.0971137","18.209238","Raciborz","Polsko"
"F-2682","49.0829818","19.6122332","Liptovský Mikuláš","Slovensko"
"F-2683","50.2648919","19.0237815","Katovice","Polsko"
"F-2685","50.057879","18.4173822","Rydultowy","Polsko"
"F-2686","47.42056","8.70168","Illnau-Effretikon","Švýcarsko"
"F-2687","49.9016056","18.9917676","Czechowice-Dziedzice","Polsko"
"F-2688","45.1731546","14.6910842","Crikvenica","Chorvatsko"
"F-2690","50.7195979","13.1926299","Lengefeld","Německo"
"F-2691","50.8012443","13.5372311","Frauenstein","Německo"
"F-2693","44.2998749","15.0871972","Vir","Chorvatsko"
"F-2694","51.3944697","12.2240071","Schkeuditz","Německo"
"F-2696","50.5711344","18.1557731","Izbicko","Polsko"
"F-2698","48.7","44.5166667","Volgograd","Rusko"
"F-2699","51.2333333","51.3666667","Uralsk","Kazachstán"
"F-2700","43.5069502","16.4423974","Split","Chorvatsko"
"F-2701","40.4406248","-79.9958864","Pittsburgh","Spojené státy americké"
"F-2702","48.1043854","20.7913563","Miskolc","Maďarsko"
"F-2703","48.7209956","21.2577477","Košice","Slovensko"
"F-2704","50.2648919","19.0237815","Katowice","Polsko"
"F-2705","51.0305106","13.7572182","Drážďany","Německo"
"F-2706","48.015883","37.80285","Doněck","Ukrajina"
"F-2707","52.406822","-1.519693","Coventry","Velká Británie"
"F-2709","50.0403014","12.0050376","Wunsiedel","Německo"
"F-2710","48.8590879","8.2095756","Rastatt","Německo"
"F-2712","50.60435","18.48514","Zawadzkie","Polsko"
"F-2713","48.9599393","18.1743223","Dubnica nad Váhom","Slovensko"
"F-2715","47.318","8.42151","Arni","Švýcarsko"
"F-2717","64.750244","20.950917","Skelleftea","Švédsko"
"F-2718","52.017","11.75","Schönebeck","Německo"
"F-2719","50.171311","12.1339323","Selb","Německo"
"F-2720","43.405624","10.473952","Rosignano Marittiomo","Itálie"
"F-2721","46.6691035","11.1639856","Merano","Itálie"
