S-538094;50.1870882296086;14.6632574862223;Brandýs nad Labem-Stará Boleslav;Česká republika;F-2220;43.327037;10.627037;Montescudaio;Itálie;2008
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2821;55.659616;12.357064;Albertslund;Dánsko;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2820;51.8482714;6.8594477;Borken;Německo;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2819;49.353976;0.075122;Daiville;Francie;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2818;53.2847817;11.5623567;Grabow;Německo;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2817;57.65;12.016667;Mölndal;Švédsko;0
S-538728;49.991674645647;14.6542686939105;Říčany;Česká republika;F-2816;51.361047;1.024256;Whitstable;Velká Británie;2000
S-538957;50.0739413608499;14.730803786727;Úvaly;Česká republika;F-2941;48.9925391;20.2426334;Spišské Bystré;Slovensko;2009
S-533416;49.9940332706139;14.8592159513673;Kostelec nad Černými Lesy;Česká republika;F-3556;47.196925;6.161428;Mamirolle;Francie;0
S-564788;49.9683538628932;14.877856679123;Prusice;Česká republika;F-3366;51.3704296;16.9606266;Prusice;Polsko;2011
S-539139;49.9600800393062;14.3197957385088;Černošice;Česká republika;F-2263;49.7811081;9.9861364;Gerbrunn;Německo;1995
S-539139;49.9600800393062;14.3197957385088;Černošice;Česká republika;F-2262;50.4305778;18.1872243;Lešnica;Polsko;1997
S-539139;49.9600800393062;14.3197957385088;Černošice;Česká republika;F-2261;49.5576543;16.4211632;Olesnice- okres nikoli město;Polsko;2008
S-539333;49.8954462070728;14.4933271695469;Jílové u Prahy;Česká republika;F-2459;48.6394255;9.0181128;Holzgerlingen;Německo;1996
S-539333;49.8954462070728;14.4933271695469;Jílové u Prahy;Česká republika;F-2458;41.947037;16.0134909;Peschici;Itálie;2001
S-539813;50.160500280206;14.3144746527039;Velké Přílepy;Česká republika;F-3491;50.5909244;21.0079876;Szydlow;Polsko;2002
S-539813;50.160500280206;14.3144746527039;Velké Přílepy;Česká republika;F-3492;48.3832287;18.3976342;Zlaté Moravce;Slovensko;2001
S-531723;50.0350241101675;14.2343485516065;Rudná;Česká republika;F-2811;51.5111872;16.2634363;Rudna;Polsko;2008
S-539911;49.6898804760474;14.0104255301269;Příbram;Česká republika;F-2782;48.2246432;12.6767839;Altötting;Německo;0
S-539911;49.6898804760474;14.0104255301269;Příbram;Česká republika;F-2781;49.9916399;4.101883;Anor;Francie;2005
S-539911;49.6898804760474;14.0104255301269;Příbram;Česká republika;F-2780;55.1333333;37.4666667;Čechov;Rusko;1994
S-539911;49.6898804760474;14.0104255301269;Příbram;Česká republika;F-2779;50.9128283;13.341727;Freiberg;Německo;1999
S-539911;49.6898804760474;14.0104255301269;Příbram;Česká republika;F-2778;52.645505;5.057526;Hoorn;Nizozemsko;1992
S-539911;49.6898804760474;14.0104255301269;Příbram;Česká republika;F-2546;49.1373227;20.4295429;Kežmarok;Slovensko;1997
